id,name,aliases,languages,category,subcategory,kind,maturity,status,first_release,license,organization,repository,website,summary_ja,problem_ja,tags,verification_level
adonisjs,AdonisJS,,TypeScript,backend-web,full-stack Node.js framework,framework,standard,active,2015,MIT,,https://github.com/adonisjs/core,https://adonisjs.com/,Laravel/Rails 型の TypeScript full-stack Web framework。,Node backend に ORM、auth、validation、CLI、convention を一式提供する。,backend-web|typescript,catalog-reviewed
aiohttp,aiohttp,,Python,backend-web,async HTTP client/server framework,framework,standard,active,2013,Apache-2.0,,https://github.com/aio-libs/aiohttp,https://docs.aiohttp.org/,asyncio-native HTTP client/server framework。,同じ async stack で client と Web server を構築する。,backend-web|python,catalog-reviewed
amber,Amber,,Crystal,backend-web,full-stack Crystal framework,framework,seed,unknown,,unknown,,https://github.com/amberframework/amber,https://amberframework.org/,Crystal の MVC、ORM、WebSocket、generator framework。,GitHub Topics から発見された。framework 本体、ecosystem component、application、誤分類のどれかを一次資料で判定する必要がある。,backend-web|core-framework,seed-unverified
apache-struts,Apache Struts,,Java,backend-web,legacy MVC framework,framework,standard,active,2000,Apache-2.0,,https://github.com/apache/struts,https://struts.apache.org/,Servlet 時代を代表する action-based MVC framework。,JSP/Servlet application の controller と form processing を構造化する。,backend-web|java,catalog-reviewed
asp-net-core,ASP.NET Core,,C#|F#,backend-web,cross-platform web application framework,framework,deep,active,2016,MIT,Microsoft / .NET Foundation,https://github.com/dotnet/aspnetcore,https://learn.microsoft.com/aspnet/core/,.NET の routing、middleware、DI、MVC、minimal API、Razor、Blazor、SignalR、auth を統合する cross-platform Web framework。,旧 ASP.NET の Windows/IIS 結合を解き、high-performance、cross-platform、cloud/container 対応の統一 Web stack を作る。,dotnet|middleware|mvc|minimal-api|blazor,official-reviewed
asp-net-mvc,ASP.NET MVC,,C#,backend-web,legacy .NET MVC framework,framework,standard,legacy,2009,Apache-2.0,,https://github.com/aspnet/AspNetWebStack,https://learn.microsoft.com/aspnet/mvc/,Model-View-Controller を ASP.NET に導入した .NET Framework 時代の Web framework。,Web Forms から controller、route、testable model へ移行する。,backend-web|lineage,catalog-reviewed
athena-framework,Athena Framework,,Crystal,backend-web,component application framework,framework,seed,unknown,,unknown,,https://github.com/athena-framework/framework,https://athenaframework.org/,Symfony-inspired Crystal component framework。,GitHub Topics から発見された。framework 本体、ecosystem component、application、誤分類のどれかを一次資料で判定する必要がある。,backend-web|core-framework,seed-unverified
axum,Axum,,Rust,backend-web,Tokio ecosystem web framework,framework,deep,active,2021,MIT,Tokio project,https://github.com/tokio-rs/axum,https://docs.rs/axum/,Tokio、Tower、Hyper の型と middleware ecosystem を直接活用する ergonomic な Rust Web framework。,Rust async network stack の強力な component を、macro や独自 service abstraction を増やしすぎず、handler/extractor として使いやすくする。,rust|tokio|tower|hyper|type-safe,official-reviewed
bailador,Bailador,,Raku,backend-web,microframework,framework,seed,unknown,,unknown,,https://github.com/Bailador/Bailador,https://github.com/Bailador/Bailador,Dancer/Sinatra-inspired Raku framework。,GitHub Topics から発見された。framework 本体、ecosystem component、application、誤分類のどれかを一次資料で判定する必要がある。,backend-web|core-framework,seed-unverified
beego,Beego,,Go,backend-web,full-stack MVC framework,framework,standard,active,2012,Apache-2.0,,https://github.com/beego/beego,https://beego.vip/,MVC、ORM、cache、tooling を統合する Go full-stack framework。,Go で batteries-included Web application を作る。,backend-web|go,catalog-reviewed
biff,Biff,,Clojure,backend-web,full-stack web framework,framework,standard,active,2020,MIT,,https://github.com/jacobobryant/biff,https://biffweb.com/,Clojure full-stack SaaS framework。,auth、DB、email、deployment を含む product development を速める。,backend-web|clojure,catalog-reviewed
blacksheep,BlackSheep,,Python,backend-web,async web framework,framework,standard,active,2019,MIT,,https://github.com/Neoteroi/BlackSheep,https://www.neoteroi.dev/blacksheep/,asyncio と type annotations を使う高速 Web framework。,typed request binding と OpenAPI を低 overhead で提供する。,backend-web|python,catalog-reviewed
bottle,Bottle,,Python,backend-web,single-file microframework,framework,standard,active,2009,MIT,,https://github.com/bottlepy/bottle,https://bottlepy.org/,単一 file でも配布できる小さな WSGI framework。,依存を最小にした script-sized Web application を作る。,backend-web|python,catalog-reviewed
buffalo,Buffalo,,Go,backend-web,full-stack web ecosystem,framework,standard,active,2016,MIT,,https://github.com/gobuffalo/buffalo,https://gobuffalo.io/,generator、asset、ORM integration を持つ Go Web ecosystem。,Go Web application の setup と full-stack workflow を統合する。,backend-web|go,catalog-reviewed
cakephp,CakePHP,,PHP,backend-web,convention MVC framework,framework,standard,active,2005,MIT,,https://github.com/cakephp/cakephp,https://cakephp.org/,convention、ORM、bake generator を持つ PHP full-stack framework。,Rails 型の rapid development を PHP に提供する。,backend-web|php,catalog-reviewed
catalyst,Catalyst,,Perl,backend-web,MVC framework,framework,seed,unknown,,unknown,,https://github.com/perl-catalyst/catalyst-runtime,https://metacpan.org/pod/Catalyst,Perl の flexible MVC framework。,GitHub Topics から発見された。framework 本体、ecosystem component、application、誤分類のどれかを一次資料で判定する必要がある。,backend-web|core-framework,seed-unverified
codeigniter,CodeIgniter,,PHP,backend-web,lightweight MVC framework,framework,standard,active,2006,MIT,,https://github.com/codeigniter4/CodeIgniter4,https://codeigniter.com/,小さな footprint と簡単な MVC を重視する PHP framework。,shared hosting でも導入しやすい Web application 基盤を提供する。,backend-web|php,catalog-reviewed
compojure,Compojure,,Clojure,backend-web,routing library,framework,standard,active,2009,EPL-1.0,,https://github.com/weavejester/compojure,https://github.com/weavejester/compojure,Ring handler を route DSL で compose する。,Clojure Web routing を concise に記述する。,backend-web|clojure,catalog-reviewed
cowboy,Cowboy,,Erlang,backend-web,small HTTP server,framework,standard,active,2011,ISC,,https://github.com/ninenines/cowboy,https://ninenines.eu/docs/en/cowboy/,Erlang の HTTP/1.1、HTTP/2、WebSocket server。,BEAM application に efficient protocol handling を提供する。,backend-web|erlang,catalog-reviewed
cro,Cro,,Raku,backend-web,reactive services framework,framework,seed,unknown,,unknown,,https://github.com/croservices/cro,https://cro.services/,Raku の HTTP、WebSocket、message pipeline framework。,GitHub Topics から発見された。framework 本体、ecosystem component、application、誤分類のどれかを一次資料で判定する必要がある。,backend-web|core-framework,seed-unverified
crow,Crow,,C++,backend-web,micro web framework,framework,standard,active,2014,BSD-3-Clause,,https://github.com/CrowCpp/Crow,https://crowcpp.org/,Flask-like routing と JSON/WebSocket の C++ framework。,C++ HTTP service を簡潔な DSL で作る。,backend-web|c++,catalog-reviewed
dancer2,Dancer2,,Perl,backend-web,microframework,framework,seed,unknown,,unknown,,https://github.com/PerlDancer/Dancer2,https://perldancer.org/,Sinatra-inspired Perl Web framework。,GitHub Topics から発見された。framework 本体、ecosystem component、application、誤分類のどれかを一次資料で判定する必要がある。,backend-web|core-framework,seed-unverified
dart-frog,Dart Frog,,Dart,backend-web,server-side Dart framework,framework,standard,active,2022,MIT,,https://github.com/VeryGoodOpenSource/dart_frog,https://dartfrog.vgv.dev/,file routing と middleware の lightweight Dart backend framework。,Dart/Flutter team が simple server API を同一言語で作る。,backend-web|dart,catalog-reviewed
django,Django,,Python,backend-web,full-stack MTV,framework,deep,active,2005,BSD-3-Clause,Django Software Foundation,https://github.com/django/django,https://www.djangoproject.com/,ORM、URL routing、template、form、admin、auth、migration、security を統合した Python の batteries-included Web framework。,ニュースサイト運営で必要だった、素早いコンテンツ開発、管理画面、DB model、URL 設計、セキュリティを再利用可能にする。,python|mtv|orm|admin|batteries-included,official-reviewed
django-rest-framework,Django REST Framework,,Python,backend-web,Django API framework,framework,standard,active,2011,BSD-3-Clause,,https://github.com/encode/django-rest-framework,https://www.django-rest-framework.org/,Django ORM/auth 上に serializer、viewset、browsable API を加える。,Django application を一貫した REST API として公開する。,backend-web|python,catalog-reviewed
dream,Dream,,OCaml,backend-web,Web framework,framework,standard,active,2021,MIT,,https://github.com/aantron/dream,https://aantron.github.io/dream/,simple type-safe OCaml Web framework。,HTTP/WebSocket/GraphQL を coherent な small API で提供する。,backend-web|ocaml,catalog-reviewed
drogon,Drogon,,C++,backend-web,C++ web application framework,framework,standard,active,2016,MIT,,https://github.com/drogonframework/drogon,https://drogon.org/,async I/O、ORM、controller を持つ high-performance C++ framework。,C++ で production Web/API を full-featured に構築する。,backend-web|c++,catalog-reviewed
dropwizard,Dropwizard,,Java,backend-web,opinionated service framework,framework,standard,active,2011,Apache-2.0,,https://github.com/dropwizard/dropwizard,https://www.dropwizard.io/,Jetty、Jersey、Jackson、Metrics を組み合わせた production service framework。,Java REST service の library 選定と運用設定を標準化する。,backend-web|java,catalog-reviewed
echo,Echo,,Go,backend-web,high-performance web framework,framework,standard,active,2015,MIT,,https://github.com/labstack/echo,https://echo.labstack.com/,router、middleware、binding、rendering を持つ Go Web framework。,REST API の定型処理を小さな API で提供する。,backend-web|go,catalog-reviewed
elysia,Elysia,,TypeScript,backend-web,Bun-first web framework,framework,standard,active,2022,MIT,,https://github.com/elysiajs/elysia,https://elysiajs.com/,Bun と TypeScript type inference を重視する高速 Web framework。,runtime-native performance と end-to-end type safety を統合する。,backend-web|typescript,catalog-reviewed
express,Express,Express.js,JavaScript|TypeScript,backend-web,minimal Node.js web framework,framework,deep,active,2010,MIT,OpenJS Foundation / community,https://github.com/expressjs/express,https://expressjs.com/,Node.js の HTTP server に routing と middleware pipeline を加える小さく非規約的な Web framework。,Node の低レベル HTTP API を、request/response helper と再利用可能 middleware で扱いやすくする。,nodejs|middleware|router|minimal,official-reviewed
falcon,Falcon,,Python,backend-web,minimal API framework,framework,standard,active,2013,Apache-2.0,,https://github.com/falconry/falcon,https://falcon.readthedocs.io/,REST API と microservice 向けの minimal Python framework。,少ない overhead で HTTP resource を明示的に記述する。,backend-web|python,catalog-reviewed
fastapi,FastAPI,,Python,backend-web,typed async API framework,framework,deep,active,2018,MIT,FastAPI / community,https://github.com/fastapi/fastapi,https://fastapi.tiangolo.com/,Python type hints から validation、serialization、dependency、OpenAPI schema を導出する ASGI API framework。,API の request validation、型、document、async handling の重複を減らし、editor support と実行時 contract を一致させる。,python|asgi|pydantic|openapi|async,official-reviewed
fastify,Fastify,,JavaScript|TypeScript,backend-web,schema-based Node.js framework,framework,standard,active,2016,MIT,,https://github.com/fastify/fastify,https://fastify.dev/,low overhead、JSON schema、plugin encapsulation を重視する Node framework。,performance と validation/serialization、large app modularity を両立する。,backend-web|javascript|typescript,catalog-reviewed
feathers,Feathers,,JavaScript|TypeScript,backend-web,service-oriented API framework,framework,standard,active,2013,MIT,,https://github.com/feathersjs/feathers,https://feathersjs.com/,transport-independent service interface と realtime API framework。,REST/WebSocket を同じ service method から公開する。,backend-web|javascript|typescript,catalog-reviewed
fiber,Fiber,,Go,backend-web,fasthttp web framework,framework,standard,active,2020,MIT,,https://github.com/gofiber/fiber,https://gofiber.io/,Express-inspired API を fasthttp 上に構築した Go framework。,Node 開発者に familiar な API と高性能を提供する。,backend-web|go,catalog-reviewed
finatra,Finatra,,Scala,backend-web,Twitter server framework,framework,standard,active,2014,Apache-2.0,,https://github.com/twitter/finatra,https://twitter.github.io/finatra/,Finagle 上の Scala Web/RPC framework。,Twitter-scale service の routing、DI、serialization を統合する。,backend-web|scala,catalog-reviewed
flask,Flask,,Python,backend-web,micro web framework,framework,deep,active,2010,BSD-3-Clause,Pallets,https://github.com/pallets/flask,https://flask.palletsprojects.com/,Werkzeug と Jinja を基盤に、routing、request context、template を小さく提供する Python microframework。,Django の full-stack 規約を必要としない小さな Web app/API を、Pythonic な最小 core と extension で構築する。,python|wsgi|microframework|jinja,official-reviewed
genie,Genie,,Julia,backend-web,Julia full-stack framework,framework,seed,unknown,,unknown,,https://github.com/GenieFramework/Genie.jl,https://genieframework.com/,routing、ORM、template、WebChannel の Julia framework。,GitHub Topics から発見された。framework 本体、ecosystem component、application、誤分類のどれかを一次資料で判定する必要がある。,backend-web|core-framework,seed-unverified
gin,Gin,,Go,backend-web,high-performance HTTP framework,framework,deep,active,2014,MIT,Gin community,https://github.com/gin-gonic/gin,https://gin-gonic.com/,Go の net/http ecosystem 上で高速 router、middleware、binding/validation、rendering を提供する小さな Web framework。,Go 標準 HTTP の明示性を保ちつつ、REST API で繰り返す routing、parameter binding、JSON、recovery、logging を簡潔にする。,go|router|middleware|rest|performance,official-reviewed
giraffe,Giraffe,,F#,backend-web,functional ASP.NET Core framework,framework,standard,active,2017,Apache-2.0,,https://github.com/giraffe-fsharp/Giraffe,https://giraffe.wiki/,HttpHandler function composition を ASP.NET Core 上に提供する F# framework。,functional pipeline と .NET hosting ecosystem を統合する。,backend-web|f#,catalog-reviewed
goa,Goa,,Go,backend-web,design-first code generation framework,framework,standard,active,2015,MIT,,https://github.com/goadesign/goa,https://goa.design/,DSL から transport、OpenAPI、client/server code を生成する。,API design と implementation contract の重複を減らす。,backend-web|go,catalog-reviewed
goframe,GoFrame,,Go,backend-web,modular application framework,framework,standard,active,2017,MIT,,https://github.com/gogf/gf,https://goframe.org/,Web、ORM、config、logging、CLI を統合する Go framework。,enterprise Go application の common infrastructure を一式提供する。,backend-web|go,catalog-reviewed
grails,Grails,,Groovy|Java,backend-web,full-stack MVC,framework,standard,active,2005,Apache-2.0,,https://github.com/grails/grails-core,https://grails.org/,Groovy と Spring/Hibernate 上の convention-driven Web framework。,Rails 型生産性を JVM ecosystem に持ち込む。,backend-web|groovy|java,catalog-reviewed
grape,Grape,,Ruby,backend-web,REST API framework,framework,standard,active,2010,MIT,,https://github.com/ruby-grape/grape,https://www.ruby-grape.org/,Rack 上の opinionated REST-like API framework。,Ruby service の parameter validation、versioning、format を統一する。,backend-web|ruby,catalog-reviewed
hanami,Hanami,,Ruby,backend-web,modular full-stack framework,framework,standard,active,2014,MIT,,https://github.com/hanami/hanami,https://hanamirb.org/,明示的 dependency、immutable-oriented component、modular app を重視する Ruby framework。,Rails より境界を強く保つ long-lived application を構築する。,backend-web|ruby,catalog-reviewed
hapi,Hapi,,JavaScript,backend-web,configuration-driven Node framework,framework,standard,active,2011,BSD-3-Clause,,https://github.com/hapijs/hapi,https://hapi.dev/,configuration、validation、plugin isolation を重視する Node framework。,large service の安全な request lifecycle と extension を統一する。,backend-web|javascript,catalog-reviewed
happyx,HappyX,,Nim,backend-web,full-stack multi-language framework,framework,seed,unknown,,unknown,,https://github.com/HapticX/happyx,https://hapticx.github.io/happyx/,Nim を中心に SPA/SSR/API を扱う framework。,GitHub Topics から発見された。framework 本体、ecosystem component、application、誤分類のどれかを一次資料で判定する必要がある。,backend-web|core-framework,seed-unverified
helidon,Helidon,,Java,backend-web,microservices framework,framework,standard,active,2018,Apache-2.0,,https://github.com/helidon-io/helidon,https://helidon.io/,SE と MicroProfile の二つの programming model を持つ Java microservices framework。,lightweight Java service と enterprise standards を両立する。,backend-web|java,catalog-reviewed
hertz,Hertz,,Go,backend-web,high-performance HTTP framework,framework,standard,active,2022,Apache-2.0,,https://github.com/cloudwego/hertz,https://www.cloudwego.io/docs/hertz/,CloudWeGo ecosystem の high-performance Go HTTP framework。,大規模 service の routing、protocol、middleware performance を高める。,backend-web|go,catalog-reviewed
hono,Hono,,TypeScript|JavaScript,backend-web,Web Standards multi-runtime framework,framework,deep,active,2021,MIT,Hono team / community,https://github.com/honojs/hono,https://hono.dev/,Fetch API など Web Standards の Request/Response を中核に、edge、Deno、Bun、Node、WASI へ同一 API を展開する軽量 Web framework。,runtime ごとに異なる server API と adapter を減らし、edge から Node まで portable な TypeScript HTTP application を作る。,web-standards|edge|router|typescript|multi-runtime,official-reviewed
http4k,http4k,,Kotlin,backend-web,functional HTTP toolkit,framework,standard,active,2015,Apache-2.0,,https://github.com/http4k/http4k,https://www.http4k.org/,HTTP を単純な function として扱う Kotlin toolkit。,server/client/test の HTTP model を同じ関数型 abstraction に揃える。,backend-web|kotlin,catalog-reviewed
http4s,http4s,,Scala,backend-web,functional HTTP toolkit,framework,standard,active,2013,Apache-2.0,,https://github.com/http4s/http4s,https://http4s.org/,Cats Effect 上で HTTP service/client を純粋関数として扱う toolkit。,resource safety と composability を HTTP stack に適用する。,backend-web|scala,catalog-reviewed
hummingbird,Hummingbird,,Swift,backend-web,lightweight server framework,framework,standard,active,2019,Apache-2.0,,https://github.com/hummingbird-project/hummingbird,https://hummingbird.codes/,SwiftNIO ecosystem の lightweight Web framework。,small、composable、high-performance server-side Swift を提供する。,backend-web|swift,catalog-reviewed
hyperf,Hyperf,,PHP,backend-web,coroutine framework,framework,standard,active,2019,MIT,,https://github.com/hyperf/hyperf,https://hyperf.io/,Swoole/Swow coroutine 上の PHP microservice framework。,PHP で long-running high-concurrency service を構築する。,backend-web|php,catalog-reviewed
ihp,IHP,,Haskell,backend-web,batteries-included web framework,framework,standard,active,2020,MIT,,https://github.com/digitallyinduced/ihp,https://ihp.digitallyinduced.com/,HSX、ORM、code generator、dev server を統合する Haskell framework。,Rails-like productivity を type-safe Haskell に提供する。,backend-web|haskell,catalog-reviewed
iris,Iris,,Go,backend-web,full-featured web framework,framework,standard,active,2016,BSD-3-Clause,,https://github.com/kataras/iris,https://www.iris-go.com/,routing、MVC、DI、WebSocket 等を広く提供する Go framework。,高機能 Web application を単一 framework で構築する。,backend-web|go,catalog-reviewed
jakarta-ee,Jakarta EE,,Java,backend-web,enterprise specifications,framework,standard,active,1999,EPL-2.0,,https://github.com/jakartaee,https://jakarta.ee/,Servlet、CDI、Persistence、REST など企業 Java の標準仕様群。,vendor-neutral な enterprise API と portability を定義する。,backend-web|java,catalog-reviewed
javalin,Javalin,,Java|Kotlin,backend-web,lightweight web framework,framework,standard,active,2017,Apache-2.0,,https://github.com/javalin/javalin,https://javalin.io/,Java/Kotlin 向けの小さく簡潔な Web framework。,Servlet/Jetty 上で routing と WebSocket を少ない ceremony で使う。,backend-web|java|kotlin,catalog-reviewed
jester,Jester,,Nim,backend-web,Nim web framework,framework,seed,unknown,,unknown,,https://github.com/dom96/jester,https://github.com/dom96/jester,Sinatra-like routing の Nim Web framework。,GitHub Topics から発見された。framework 本体、ecosystem component、application、誤分類のどれかを一次資料で判定する必要がある。,backend-web|core-framework,seed-unverified
