id,name,aliases,languages,category,subcategory,kind,maturity,status,first_release,license,organization,repository,website,summary_ja,problem_ja,tags,verification_level
github-sylphai-inc-adalflow,AdalFlow,SylphAI-Inc/AdalFlow,Python,application-framework,topic-derived core-framework,framework,seed,unknown,2024,MIT,SylphAI-Inc,https://github.com/SylphAI-Inc/AdalFlow,http://adalflow.sylph.ai/,AdalFlow: The library to build & auto-optimize LLM applications.,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,agent|ai|auto-prompting|bm25|chatbot|core-framework|faiss|framework|generative-ai|information-retrieval|llm|machine-learning|nlp|optimizer|python|question-answering|rag|reranker|retriever|summarization|topic-derived|trainer,machine-classified
github-google-adk-java,adk-java,google/adk-java,Java,application-framework,topic-derived core-framework,framework,seed,unknown,2025,Apache-2.0,google,https://github.com/google/adk-java,https://google.github.io/adk-docs/,"An open-source, code-first Java toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.",分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,agent|agentic|agentic-ai|agentic-workflow|agents|agents-sdk|ai|ai-agents|aiagentframework|core-framework|genai|genai-chatbot|llm|llms|multi-agent|multi-agent-system|multi-agent-systems|multi-agents|multi-agents-collaboration|topic-derived,machine-classified
github-google-adk-python,adk-python,google/adk-python,Python,application-framework,topic-derived core-framework,framework,seed,unknown,2025,Apache-2.0,google,https://github.com/google/adk-python,https://google.github.io/adk-docs/,"An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.",分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,agent|agentic|agentic-ai|agents|agents-sdk|ai|ai-agents|aiagentframework|core-framework|genai|genai-chatbot|llm|llms|multi-agent|multi-agent-systems|multi-agents|multi-agents-collaboration|topic-derived,machine-classified
github-aframevr-aframe,aframe,aframevr/aframe,JavaScript,application-framework,topic-derived core-framework,framework,seed,unknown,2015,MIT,aframevr,https://github.com/aframevr/aframe,https://aframe.io/,:a: Web framework for building virtual reality experiences.,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,3d|aframe|augmented-reality|core-framework|daydream|ecs|game-development|game-engine|gamedev|html|metaverse|oculus|rift|threejs|topic-derived|virtual-reality|virtualreality|vive|vr|webgl|webvr|webxr,machine-classified
github-microsoft-agent-governance-toolkit,agent-governance-toolkit,microsoft/agent-governance-toolkit,Python,application-framework,topic-derived core-framework,framework,seed,unknown,2026,MIT,microsoft,https://github.com/microsoft/agent-governance-toolkit,https://github.com/microsoft/agent-governance-toolkit,"AI Agent Governance Toolkit — Policy enforcement, zero-trust identity, execution sandboxing, and reliability engineering for autonomous AI agents. Covers 10/10 OWASP Agentic Top 10.",分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,agent-framework|ai-agents|ai-safety|compliance|core-framework|governance|microsoft|owasp|policy-engine|python|security|topic-derived|trust|zero-trust,machine-classified
github-simular-ai-agent-s,Agent-S,simular-ai/Agent-S,Python,application-framework,topic-derived core-framework,framework,seed,unknown,2024,Apache-2.0,simular-ai,https://github.com/simular-ai/Agent-S,https://www.simular.ai,Agent S: an open agentic framework that uses computers like a human。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,agent-computer-interface|ai-agents|computer-automation|computer-use|computer-use-agent|core-framework|cua|grounding|gui-agents|in-context-reinforcement-learning|memory|mllm|planning|retrieval-augmented-generation|topic-derived,machine-classified
github-2fastlabs-agent-squad,agent-squad,2FastLabs/agent-squad,Swift,application-framework,topic-derived core-framework,framework,seed,unknown,2024,Apache-2.0,2FastLabs,https://github.com/2FastLabs/agent-squad,https://2fastlabs.github.io/agent-squad/,Flexible and powerful framework for managing multiple AI agents and handling complex conversations。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,agentic-ai|agents|ai-agents|ai-agents-framework|anthropic|anthropic-claude|aws|aws-bedrock|aws-cdk|aws-lambda|chatbot|core-framework|framework|generative-ai|machine-learning|openai|openaiapi|orchestrator|python|serverless|topic-derived|typescript,machine-classified
github-agentdock-agentdock,AgentDock,AgentDock/AgentDock,MDX,application-framework,topic-derived core-framework,framework,seed,unknown,2025,MIT,AgentDock,https://github.com/AgentDock/AgentDock,https://agentdock.ai,Build Anything with AI Agents。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,agentic-ai|agentic-framework|ai-agents|core-framework|llm|natural-language-inference|nextjs|topic-derived|typescript|workflows,machine-classified
github-agentera-agently,Agently,AgentEra/Agently,Python,application-framework,topic-derived core-framework,framework,seed,unknown,2023,Apache-2.0,AgentEra,https://github.com/AgentEra/Agently,http://agently.tech,[GenAI Application Development Framework]  🚀 Build GenAI application quick and easy 💬 Easy to interact with GenAI agent in code using structure data and chained-calls syntax 🧩 Use Event-Driven Flow *TriggerFlow* to manage complex GenAI working logic 🔀 Switch to any model without rewrite application code。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,agent|agent-based-framework|agent-framework|chatglm|claude|core-framework|deepseek|ernie|framework|gemini|google-gemini|gpt|llm-agent|llm-application|llm-apps|llm-framework|llmops|llms|minimax|python|topic-derived,machine-classified
github-nirdiamant-agents-towards-production,agents-towards-production,NirDiamant/agents-towards-production,Jupyter Notebook,application-framework,topic-derived core-framework,framework,seed,unknown,2025,NOASSERTION,NirDiamant,https://github.com/NirDiamant/agents-towards-production,https://diamant-ai.com,"End-to-end, code-first tutorials for building production-grade GenAI agents. From prototype to enterprise deployment.",分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,agent|agent-framework|agentic-ai|agents|ai-agents|core-framework|deployment|genai|generative-ai|langgraph|llm|llms|mcp|mlops|multi-agent-systems|observability|production|python|rag|topic-derived|tutorials,machine-classified
github-agentuniverse-ai-agentuniverse,agentUniverse,agentuniverse-ai/agentUniverse,Python,application-framework,topic-derived core-framework,framework,seed,unknown,2024,Apache-2.0,agentuniverse-ai,https://github.com/agentuniverse-ai/agentUniverse,https://github.com/agentuniverse-ai/agentUniverse,agentUniverse is a LLM multi-agent framework that allows developers to easily build multi-agent applications. 。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,agent|ai|ai-agents|autonomous|awesome|awesome-list|core-framework|llm|multi-agent|python|topic-derived,machine-classified
github-microsoft-ai-agents-for-beginners,ai-agents-for-beginners,microsoft/ai-agents-for-beginners,Jupyter Notebook,application-framework,topic-derived core-framework,framework,seed,unknown,2024,MIT,microsoft,https://github.com/microsoft/ai-agents-for-beginners,https://aka.ms/ai-agents-beginners,18 Lessons to Get Started Building AI Agents。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,agentic-ai|agentic-framework|agentic-rag|ai-agents|ai-agents-framework|autogen|core-framework|foundry|foundry-local|generative-ai|microsoft-foundry|semantic-kernel|topic-derived,machine-classified
github-codeaholicguy-ai-devkit,ai-devkit,codeaholicguy/ai-devkit,TypeScript,application-framework,topic-derived core-framework,framework,seed,unknown,2025,MIT,codeaholicguy,https://github.com/codeaholicguy/ai-devkit,https://ai-devkit.com,The control plane for AI coding agents.,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,agent-framework|agent-skills|ai|ai-agents|ai-coding|antigravity|claude-code|cli|codex-cli|coding-agents|core-framework|cursor-ai|developer-tools|gemini-cli|mcp|memory|opencode|pi|software-engineering|topic-derived|workflow-automation,machine-classified
github-madslorentzen-ai-job-search,ai-job-search,MadsLorentzen/ai-job-search,Python,application-framework,topic-derived core-framework,framework,seed,unknown,2026,MIT,MadsLorentzen,https://github.com/MadsLorentzen/ai-job-search,https://github.com/MadsLorentzen/ai-job-search,"The job search that runs on your machine. AI job application framework built on Claude Code: evaluate postings, tailor CVs, write cover letters, prep interviews. Fork it and own it.",分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,ai|ai-agents|career|claude-code|core-framework|cover-letter|cv|interview-preparation|job-application|job-hunting|job-search|latex|resume|topic-derived,machine-classified
github-microsoft-aici,aici,microsoft/aici,Rust,application-framework,topic-derived core-framework,framework,seed,unknown,2023,MIT,microsoft,https://github.com/microsoft/aici,https://github.com/microsoft/aici,AICI: Prompts as (Wasm) Programs。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,ai|core-framework|inference|language-model|llm|llm-framework|llm-inference|llm-serving|llmops|model-serving|rust|topic-derived|transformer|wasm|wasmtime,machine-classified
github-synkraai-aiox-core,aiox-core,SynkraAI/aiox-core,JavaScript,application-framework,topic-derived core-framework,framework,seed,unknown,2025,NOASSERTION,SynkraAI,https://github.com/SynkraAI/aiox-core,https://github.com/allfluence/aios-core,Synkra AIOS: AI-Orchestrated System for Full Stack Development - Core Framework v4.0。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,agents|ai|ai-agents|automation|claude|cli|core-framework|development|framework|fullstack|nodejs|orchestration|topic-derived|typescript,machine-classified
github-alephjs-aleph-js,aleph.js,alephjs/aleph.js,TypeScript,application-framework,topic-derived core-framework,framework,seed,archived,2020,MIT,alephjs,https://github.com/alephjs/aleph.js,https://aleph.deno.dev/,The Full-stack Framework in Deno.,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,alephjs|components|core-framework|deno|esm|framework|fullstack|react|ssg|ssr|swc|topic-derived|typescript|unocss,machine-classified
github-sindresorhus-alfy,alfy,sindresorhus/alfy,JavaScript,application-framework,topic-derived core-framework,framework,seed,unknown,2016,MIT,sindresorhus,https://github.com/sindresorhus/alfy,https://github.com/sindresorhus/alfy,Create Alfred workflows with ease。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,alfred|alfred-workflow|alfred3-workflow|alfy|core-framework|framework|javascript|macos|nodejs|topic-derived|workflow,machine-classified
github-ivopetiz-algotrading,algotrading,ivopetiz/algotrading,Python,application-framework,topic-derived core-framework,framework,seed,unknown,2018,MIT,ivopetiz,https://github.com/ivopetiz/algotrading,https://github.com/ivopetiz/algotrading,Algorithmic trading framework for cryptocurrencies.,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,algorithmic-trading|algotrading|backtest|backtesting-trading-strategies|bot|core-framework|crypto|crypto-algotrading|cryptocurrencies|cryptocurrency|cryptocurrency-exchanges|framework|hft|hft-trading|high-frequency-trading|realtime|topic-derived|trading|trading-algorithms|trading-api|trading-bot|trading-simulator,machine-classified
github-ambientrun-ambient,Ambient,AmbientRun/Ambient,Rust,application-framework,topic-derived core-framework,framework,seed,unknown,2022,Apache-2.0,AmbientRun,https://github.com/AmbientRun/Ambient,https://ambient.run,The multiplayer game engine。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,3d-graphics|core-framework|game-development|game-engine|game-engine-3d|gamedev|multiplayer|rust|topic-derived|wasm|webassembly|wgpu,machine-classified
github-amethyst-amethyst,amethyst,amethyst/amethyst,Rust,application-framework,topic-derived core-framework,framework,seed,archived,2015,NOASSERTION,amethyst,https://github.com/amethyst/amethyst,https://amethyst.rs/,Data-oriented and data-driven game engine written in Rust。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,core-framework|engine|game-engine|gamedev|hacktoberfest|rust|topic-derived,machine-classified
github-baidu-amis,amis,baidu/amis,TypeScript,application-framework,topic-derived core-framework,framework,seed,unknown,2019,Apache-2.0,baidu,https://github.com/baidu/amis,https://baidu.github.io/amis/,前端低代码框架，通过 JSON 配置就能生成各种页面。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,admin|core-framework|frontend|frontend-framework|json|low-code|low-code-development-platform|lowcode|no-code|topic-derived,machine-classified
github-anchorcms-anchor-cms,anchor-cms,anchorcms/anchor-cms,PHP,application-framework,topic-derived core-framework,framework,seed,archived,2011,GPL-3.0,anchorcms,https://github.com/anchorcms/anchor-cms,http://anchorcms.com/,A lightweight blog CMS for PHP。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,anchor|anchor-cms|blog|cms|content-management|core-framework|framework|php|topic-derived,machine-classified
github-nicolasgramlich-andengine,AndEngine,nicolasgramlich/AndEngine,Java,application-framework,topic-derived core-framework,framework,seed,unknown,2011,Apache-2.0,nicolasgramlich,https://github.com/nicolasgramlich/AndEngine,http://www.andengine.org,Free Android 2D OpenGL Game Engine。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,android|core-framework|game-development|game-engine|game-engine-2d|topic-derived,machine-classified
github-omooo-android-notes,Android-Notes,Omooo/Android-Notes,Unknown,application-framework,topic-derived core-framework,framework,seed,unknown,2018,NOASSERTION,Omooo,https://github.com/Omooo/Android-Notes,https://github.com/Omooo/Android-Notes,✨✨✨这有一包小鱼干，确定不要吃嘛？( 逃。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,algorithm|android|core-framework|datastructure|framework|interview|java|jvm|topic-derived,machine-classified
github-limpoxe-android-plugin-framework,Android-Plugin-Framework,limpoxe/Android-Plugin-Framework,Java,application-framework,topic-derived core-framework,framework,seed,unknown,2015,MIT,limpoxe,https://github.com/limpoxe/Android-Plugin-Framework,https://github.com/limpoxe/Android-Plugin-Framework,Android插件框架，免安装运行插件APK ，支持独立插件和非独立插件。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,android|core-framework|framework|plugin|topic-derived,machine-classified
github-jeanboydev-android-readthefuckingsourcecode,Android-ReadTheFuckingSourceCode,jeanboydev/Android-ReadTheFuckingSourceCode,HTML,application-framework,topic-derived core-framework,framework,seed,unknown,2016,NOASSERTION,jeanboydev,https://github.com/jeanboydev/Android-ReadTheFuckingSourceCode,https://jeanboy.blog.csdn.net,😜 记录日常的开发技巧，开发中遇到的技术重点、难点，各个知识点的总结，优质面试题等等。持续更新...,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,android|architecture|binder|core-framework|design-patterns|framework|git|gradle|interview-questions|java|jvm|performance|surface-flinger|tcp-ip|topic-derived,machine-classified
github-colorfulcat-androidlibs,AndroidLibs,ColorfulCat/AndroidLibs,Unknown,application-framework,topic-derived core-framework,framework,seed,unknown,2015,Apache-2.0,ColorfulCat,https://github.com/ColorfulCat/AndroidLibs,https://www.xcube.cn,:fire:正在成为史上最全分类 Android 开源大全~~~~（长期更新 Star 一下吧）。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,android|app|core-framework|dialog|framework|layout|library|net|rxjava|topic-derived|utils|view,machine-classified
github-angulardart-angular,angular,angulardart/angular,Dart,application-framework,topic-derived core-framework,framework,seed,archived,2016,MIT,angulardart,https://github.com/angulardart/angular,https://pub.dev/packages/angular,Fast and productive web framework provided by Dart。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,angular|angulardart|core-framework|dart|dart-web|dartlang|topic-derived|web-framework,machine-classified
github-ingram-projects-animxyz,animxyz,ingram-projects/animxyz,CSS,application-framework,topic-derived core-framework,framework,seed,unknown,2020,MIT,ingram-projects,https://github.com/ingram-projects/animxyz,https://animxyz.com,"The first truly composable CSS animation library. Built for Vue, React, SCSS, and CSS, AnimXYZ will bring your website to life.",分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,animation|animxyz|composable-animations|core-framework|css|css-animations|css-framework|functional-css|react|scss|topic-derived|vue,machine-classified
github-mukul975-anthropic-cybersecurity-skills,Anthropic-Cybersecurity-Skills,mukul975/Anthropic-Cybersecurity-Skills,Python,application-framework,topic-derived core-framework,framework,seed,unknown,2026,Apache-2.0,mukul975,https://github.com/mukul975/Anthropic-Cybersecurity-Skills,https://mahipal.engineer/Anthropic-Cybersecurity-Skills/,"817 structured cybersecurity skills for AI agents · Mapped to 6 frameworks: MITRE ATT&CK, NIST CSF 2.0, MITRE ATLAS, D3FEND, NIST AI RMF & MITRE F3 (Fight Fraud) · agentskills.io standard · Works with Claude Code, GitHub Copilot, Codex CLI, Cursor, Gemini CLI & 20+ platforms · 29 security domains · Apache 2.0。",分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,ai-agents|claude-code|cloud-security|core-framework|cybersecurity|devsecops|ethical-hacking|incident-response|infosec|llm|malware-analysis|mcp|mitre-attack|nist-csf|osint|penetration-testing|red-team|security|security-automation|threat-hunting|threat-intelligence|topic-derived,machine-classified
github-killop-anything-about-game,anything_about_game,killop/anything_about_game,Unknown,application-framework,topic-derived core-framework,framework,seed,unknown,2020,Apache-2.0,killop,https://github.com/killop/anything_about_game,https://github.com/killop/anything_about_game,A wonderful list of Game Development resources.,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,2d-game-framework|ai-agent|awesome-list|core-framework|csharp|ecs|ecs-libraries|game|game-asset|game-development|game-engine|game-math|gamedev|llm|physics-framework|shader|topic-derived|unity|unity-ecs,machine-classified
github-api-platform-api-platform,api-platform,api-platform/api-platform,PHP,application-framework,topic-derived core-framework,framework,seed,unknown,2015,MIT,api-platform,https://github.com/api-platform/api-platform,https://api-platform.com,"🕸️ Create REST and GraphQL APIs, scaffold Jamstack webapps, stream changes in real-time.",分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,api|api-platform|core-framework|framework|frankenphp|graphql|graphql-server|hydra-api|hypermedia-api|hypermedia-client|jamstack|json-ld|mercure|nextjs|openapi|php|react|rest|symfony|symfony-bundle|topic-derived|vulcain,machine-classified
github-spotify-apollo,apollo,spotify/apollo,Java,application-framework,topic-derived core-framework,framework,seed,archived,2015,Apache-2.0,spotify,https://github.com/spotify/apollo,http://spotify.github.io/apollo/,Java libraries for writing composable microservices。,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,core-framework|framework|http-server|java|java-8|topic-derived,machine-classified
github-caronc-apprise,apprise,caronc/apprise,Python,application-framework,topic-derived core-framework,framework,seed,unknown,2017,BSD-2-Clause,caronc,https://github.com/caronc/apprise,https://hub.docker.com/r/caronc/apprise,Apprise - Push Notifications that work with just about every platform!,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,alerts|apprise|core-framework|framework|notification-api|notification-hub|notification-service|notifications|notifier|notify|push-notifications|python|topic-derived,machine-classified
github-stablekernel-aqueduct,aqueduct,stablekernel/aqueduct,Dart,application-framework,topic-derived core-framework,framework,seed,archived,2015,BSD-2-Clause,stablekernel,https://github.com/stablekernel/aqueduct,https://aqueduct.io,Dart HTTP server framework for building REST APIs. Includes PostgreSQL ORM and OAuth2 provider.,分類、設計目的、歴史、現在の保守状況を一次資料で確認する必要がある。,core-framework|dart|framework|http|oauth2|orm|rest|routing|server|topic-derived,machine-classified
